HTS Number,Description,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,CIF Value,Product Cost,Freight,Insurance,General Rate of Duty Parsed (%),General Rate of Duty Duty Amount,Special Rate of Duty Parsed (%),Special Rate of Duty Duty Amount,Column 2 Rate of Duty Parsed (%),Column 2 Rate of Duty Duty Amount
0207.60.60,"Other, frozen",17.6¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.01660377358490566,176.0,0.0,0.0,0.020754716981132074,220.0
0208.10.00.00,Of rabbits or hares,6.4%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.064,678.4,0.0,0.0,0.2,2120.0
0208.30.00.00,Of primates,6.4%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.064,678.4,0.0,0.0,0.2,2120.0
0208.40.01.00,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia).",6.4%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.064,678.4,0.0,0.0,0.2,2120.0
0208.50.00.00,Of reptiles (including snakes and turtles),6.4%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.064,678.4,0.0,0.0,0.2,2120.0
0208.60.00.00,Of camels and other camelids (Camelidae),6.4%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.064,678.4,0.0,0.0,0.2,2120.0
0208.90.20.00,Deer,Free,,13.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.012452830188679246,132.0
0208.90.25.00,Frogsʼ legs,Free,,10%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.1,1060.0
0208.90.30.00,"Quail, eviscerated, not in pieces",7¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,10600.0,10000.0,500.0,100.0,0.006603773584905661,70.0,0.0,0.0,0.020754716981132074,220.0
0208.90.91.00,Other,6.4%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.064,678.4,0.0,0.0,0.2,2120.0
0209.10.00.00,Of pigs,3.2%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.032,339.2,0.0,0.0,0.2,2120.0
0209.90.00.00,Other,3.2%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.032,339.2,0.0,0.0,0.2,2120.0
0210.11.00,"Hams, shoulders and cuts thereof, with bone in",1.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",7.2¢/kg,10600.0,10000.0,500.0,100.0,0.0013207547169811322,14.000000000000002,0.0,0.0,0.006792452830188679,72.0
0210.12.00,Bellies (streaky) and cuts thereof,1.4¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",7.2¢/kg,10600.0,10000.0,500.0,100.0,0.0013207547169811322,14.000000000000002,0.0,0.0,0.006792452830188679,72.0
0210.19.00,Other,1.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",7.2¢/kg,10600.0,10000.0,500.0,100.0,0.0013207547169811322,14.000000000000002,0.0,0.0,0.006792452830188679,72.0
0210.20.00.00,Meat of bovine animals,Free,,30%,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.3,3180.0
0210.91.00.00,Of primates,2.3%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.023,243.79999999999998,0.0,0.0,0.2,2120.0
0210.92.01.00,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",2.3%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.023,243.79999999999998,0.0,0.0,0.2,2120.0
0210.93.00.00,Of reptiles (including snakes and turtles),2.3%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.023,243.79999999999998,0.0,0.0,0.2,2120.0
0210.99.20.00,Meat of poultry of heading 0105,2.3%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.023,243.79999999999998,0.0,0.0,0.2,2120.0
0210.99.91.00,Other,2.3%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,10600.0,10000.0,500.0,100.0,0.023,243.79999999999998,0.0,0.0,0.2,2120.0
0302.11.00,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache  and Oncorhynchus chrysogaster)",Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.13.00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0302.14.00,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0302.19.00.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.21.00,"Halibut and Greenland turbot (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0302.22.00.00,Plaice (Pleuronectes platessa),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.23.00.00,Sole (Solea spp.),1.1¢/kg,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0010377358490566038,11.0,0.0,0.0,0.0020754716981132076,22.0
0302.24.00.00,Turbots (Psetta maxima),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.29.01,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.43.00.00,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.44.00.00,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0302.45.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.45.50.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.46.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.46.50.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.47.00,Swordfish (Xiphias gladius),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.49.00.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.51.00,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.52.00.00,Haddock (Melanogrammus aeglefinus),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.53.00.00,Coalfish (Pollachius virens),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.54.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.54.50.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.55.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.55.50.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.56.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.56.50.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.59.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.59.50,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.71.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.71.50.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.72.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.72.50,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.73.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.73.50.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.74.00.00,Eels (Anguilla spp.),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.79.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.79.50,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.81.00,Dogfish and other sharks,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.82.00.00,Rays and skates (Rajidae),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.83.00.00,Toothfish (Dissostichus spp.),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.84.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.84.50.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.85.11.00,"Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.85.50.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.89.11,"Scaled (whether or not heads, viscera and/or fins have been processed), in immediate containers weighing with their contents 6.8 kg or less",3%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,10600.0,10000.0,500.0,100.0,0.03,318.0,0.0,0.0,0.25,2650.0
0302.89.50,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.91.20.00,Sturgeon roe,15%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",30%,10600.0,10000.0,500.0,100.0,0.15,1590.0,0.0,0.0,0.3,3180.0
0302.91.40,Other,Free,,44¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.04150943396226415,440.0
0302.92.00.00,Shark fins,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0302.99.00.00,Other,Free,,44¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.04150943396226415,440.0
0303.11.00.00,Sockeye salmon (red salmon) (Oncorhynchus nerka),Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0303.12.00,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0303.13.00.00,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0303.14.00.00,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.19.01.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.23.00.00,Tilapias (Oreochromis spp.),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.24.00,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.25.01.00,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.26.00.00,Eels (Anguilla spp.),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.29.01,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.31.00,"Halibut and Greenland turbot (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0303.32.00.00,Plaice (Pleuronectes platessa),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.33.00.00,Sole (Solea spp.),1.1¢/kg,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0010377358490566038,11.0,0.0,0.0,0.0020754716981132076,22.0
0303.34.00.00,Turbots (Psetta maxima),1.1¢/kg,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0010377358490566038,11.0,0.0,0.0,0.0020754716981132076,22.0
0303.39.01,Other,1.1¢/kg,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0010377358490566038,11.0,0.0,0.0,0.0020754716981132076,22.0
0303.53.00.00,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",1.1¢/kg,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0010377358490566038,11.0,0.0,0.0,0.0020754716981132076,22.0
0303.54.00.00,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",Free,,4.4¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.004150943396226415,44.0
0303.55.00.00,Jack and horse mackerel (Trachurus spp.),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.56.00.00,Cobia (Rachycentron canadum),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.57.00,Swordfish (Xiphias gladius),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.59.00.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.63.00,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.64.00.00,Haddock (Melanogrammus aeglefinus),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.65.00.00,Coalfish (Pollachius virens),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.66.00.00,"Hake (Merluccius spp., Urophycis spp.)",Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.67.00.00,Alaska pollock (Theragra chalcogramma),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.68.00.00,"Blue whitings (Micromesistius poutassou, Micromesistius australis)",Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.69.00.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.81.00,Dogfish and other sharks,1.1¢/kg,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0010377358490566038,11.0,0.0,0.0,0.0020754716981132076,22.0
0303.82.00.00,Rays and skates (Rajidae),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.83.00.00,Toothfish (Dissostichus spp.),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.84.00.00,Sea Bass (Dicentrachus spp.),Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.89.00,Other,Free,,2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0020754716981132076,22.0
0303.91.20.00,Sturgeon roe,15%,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",30%,10600.0,10000.0,500.0,100.0,0.15,1590.0,0.0,0.0,0.3,3180.0
0303.91.40,Other,Free,,44¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.04150943396226415,440.0
0303.92.00.00,Shark fins,1.1¢/kg,"Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",2.2¢/kg,10600.0,10000.0,500.0,100.0,0.0010377358490566038,11.0,0.0,0.0,0.0020754716981132076,22.0
0303.99.00.00,Other,Free,,44¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.04150943396226415,440.0
0304.31.00.00,Tilapias (Oreochromis spp.),Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.32.00,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.33.00.00,Nile perch (Lates niloticus),Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.39.00.00,Other,Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.41.00,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) Atlantic Salmon (Salmo salar) and Danube salmon (Hucho hucho)",Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.42.00.00,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae Oncorhynchus apache, and Oncorhynchus chrysogaster)",Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.43.00,"Flat Fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae, and Citharidae)",Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.44.00,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.45.00.00,Swordfish (Xiphias gladius),Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.46.00.00,Toothfish (Dissostichus spp.),Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.47.00.00,Dogfish and other sharks,Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.48.00.00,Rays and skates (Rajidae),Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.49.01,Other,Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.51.01,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.52.00,Salmonidae,Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
0304.53.00,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",Free,,5.5¢/kg,10600.0,10000.0,500.0,100.0,0.0,0.0,0.0,0.0,0.005188679245283019,55.0
